Aerial [241] SfM
Aerial [215] Photogrammetric
Satellite [72] Photogrammetric
Aerial [32] Combined
Satellite [24] SfM
Aerial [18] Manual
Aerial [10] Time-SIFT
Satellite [4] Manual
SfM [160] Agisoft
Photogrammetric [132] ERDAS
Photogrammetric [52] Other
SfM [48] MicMac
Photogrammetric [39] SocetSet
SfM [32] Pix4D
Photogrammetric [31] "PCI Geomatica"
Photogrammetric [27] Inpho
SfM [20] Other
Combined [17] ERDAS
Combined [13] Other
Manual [12] Self
Photogrammetric [6] VirtuoZo
Manual [6] Agisoft
SfM [5] SocetSet
Manual [4] Other
Time-SIFT [4] Agisoft
Time-SIFT [4] Self
Combined [2] SocetSet
Time-SIFT [2] MicMac
ERDAS [84] yes
Agisoft [69] no
Other [60] yes
Agisoft [56] yes
MicMac [46] yes
Agisoft [45] "not specified"
ERDAS [38] "not specified"
ERDAS [27] no
Inpho [22] yes
SocetSet [21] yes
Other [19] "not specified"
"PCI Geomatica" [16] yes
SocetSet [15] "not specified"
Pix4D [13] no
"PCI Geomatica" [13] no
Pix4D [11] "not specified"
Other [10] no
SocetSet [10] no
Pix4D [8] yes
Self [6] yes
Self [5] no
Self [5] "not specified"
Inpho [5] "not specified"
MicMac [4] no
VirtuoZo [4] yes
"PCI Geomatica" [2] "not specified"
VirtuoZo [2] no
